cust_id,full_name,email,phone,signup_date,customer_segment,region,total_lifetime_orders,source_system
C-00356,Somchai Chaiyaporn,somchai.chaiyaporn356@example.com,+66823963348,24/12/2021,new,bangkok,5.0,CRM_V2
C-00458,Somsak Boonmee,somsak.boonmee458@example.com,0893561769,2022-11-01, Regular,Bangkok,32.0,CRM_LEGACY
C-00439,Suda Rattanakul,suda.rattanakul439@example.com,0812826461,20/08/2022,3,Chiang Mai,28.0,CRM_V2
C-00796,Preecha Phanuwat,preecha.phanuwat796@example.com,+66833608043,2023-10-20,,ขอนแก่น,28.0,CRM_V2
C-00570,Malee Phanuwat,malee.phanuwat570@example.com,0827003768,12-Jul-2022,VIP,HKT,22.0,CRM_V2
C-00021,Wichai Kaewmanee,wichai.kaewmanee21@example.com,0878274247,28/08/2023,vip,HKT,35.0,CRM_LEGACY
C-00557,Anan Suksawat,anan.suksawat557@example.com,0831123587,06/01/2022,Regular,Chonburi,33.0,CRM_V2
C-00069,Waree Suksawat,waree.suksawat69@example.com,082-101-7989,19/07/2022,,Khon Kaen,28.0,CRM_V2
C-00574,Chai Kaewmanee,chai.kaewmanee574@example.com,082-788-3904,23/09/2023,REGULAR,BKK,19.0,CRM_V2
C-00233,Suda Rattanakul,suda.rattanakul233@example.com,086-428-2769,05/28/2022,VIP,CNX,0.0,CRM_V2
C-00142,Preecha Phanuwat,preecha.phanuwat142@example.com,0818762315,06/01/2022, Regular,Bangkok,28.0,CRM_V2
C-00437,Malee Suksawat,malee.suksawat437@example.com,0864758029,2023-06-26,REGULAR,Chonburi,,CRM_LEGACY
C-00581,Nattaya Phanuwat,NATTAYA.PHANUWAT581@EXAMPLE.COM,0852507538,22/04/2023,NEW,Khon Kaen,1.0,CRM_V2
C-00328,Waree Boonmee,waree.boonmee328@example.com,089-436-0652,17/04/2023,Regular,Bangkok,24.0,CRM_V2
C-00213,Wichai Sukjai,wichai.sukjai213@example.com,+66831756864,28/12/2023, Regular,ชลบุรี,1.0,CRM_V2
C-00267,Somchai Chaiyaporn,somchai.chaiyaporn267@example.com,084-615-5810,15-Feb-2023,1,ชลบุรี,23.0,CRM_LEGACY
C-00521,Wichai Boonmee,wichai.boonmee521@example.com,088-759-3322,17/12/2023,New,Pattaya,9.0,CRM_V2
C-00482,Chai Charoensuk,,+66832960240,11/06/2022,New,CNX,-23.0,CRM_V2
C-00531,Malee Suksawat,malee.suksawat531@example.com,086-682-9759,05/01/2022,,Phuket,14.0,CRM_V2
C-00624,Wichai Wongsawat,wichai.wongsawat624@example.com,081-917-2332,14/03/2023,REGULAR,Chonburi,,CRM_V2
C-00102,Kittipong Charoensuk,kittipong.charoensuk102@example.com,+66852383155,2023-11-30,new,HKT,25.0,CRM_V2
C-00598,Somchai Suksawat,somchai.suksawat598@example.com,+66898814403,2022-08-29,regular,Bangkok,,CRM_LEGACY
C-00276,Suda Chaiyaporn,suda.chaiyaporn276@example.com,+66840163367,2022-04-24,REGULAR,ชลบุรี,,CRM_LEGACY
C-00752,Suda Chaiyaporn, suda.chaiyaporn752@example.com  ,+66810872870,14/01/2024,,ภูเก็ต,29.0,CRM_LEGACY
C-00206,Waree Charoensuk,waree.charoensuk206@example.com,0897771865,2022-10-01,,Chiang Mai,15.0,CRM_V2
C-00747,Ratana Chaiyaporn,ratana.chaiyaporn747@example.com,087-949-5583,2024-03-13,, ภูเก็ต ,38.0,CRM_V2
C-00237,Waree Suksawat,waree.suksawat237@example.com,089-504-9533,10/08/2023,REGULAR,Bangkok,4.0,CRM_V2
C-00147,Preecha Wongsawat,preecha.wongsawat147@example.com,081-810-3930,26/08/2023,regular,Khon Kaen,12.0,CRM_LEGACY
C-00186,Siriporn Rattanakul,siriporn.rattanakul186@example.com,0811966675,2022-01-15,REGULAR,Khon Kaen,16.0,CRM_V2
C-00428,Preecha Charoensuk,preecha.charoensuk428@example.com,0855446692,2024-04-26,REGULAR,bangkok,24.0,CRM_V2
C-00110,Preecha Sukjai,preecha.sukjai110@example.com,+66884972853,2022-09-16,1,Khon Kaen,15.0,CRM_V2
C-00143,Preecha Sukjai,preecha.sukjai143@example.com,+66877288423,2022-02-08, VIP ,bangkok,38.0,CRM_V2
C-00723,Malee Rattanakul,malee.rattanakul723@example.com,+66846204931,2023-03-04,,ขอนแก่น,32.0,CRM_LEGACY
C-00743,Nattaya Phanuwat,nattaya.phanuwat743@example.com,085-772-7751,21/07/2023,Regular,BKK,35.0,CRM_V2
C-00424,Suda Charoensuk,suda.charoensuk424@example.com,080-800-3267,2023-08-30,Regular,Khon Kaen,23.0,CRM_V2
C-00790,Ratana Kaewmanee,,0824389763,27/07/2022,Regular,Chiang Mai,3.0,CRM_V2
C-00480,Wichai Rattanakul,wichai.rattanakul480@example.com,080-546-3515,01/04/2022,REGULAR,Chiang Mai,9.0,CRM_V2
C-00008,Waree Suksawat, waree.suksawat8@example.com  ,0862980262,05/23/2022, Regular,Khon Kaen,1.0,CRM_V2
C-00318,Wichai Suksawat,wichai.suksawat318@example.com,083-095-2171,08/07/2022,Regular, ภูเก็ต ,1.0,CRM_V2
C-00175,Thanapon Phanuwat,thanapon.phanuwat175@example.com,+66883780842,13/08/2022,1,Pattaya,33.0,CRM_V2
C-00577,Somsak Boonmee,somsak.boonmee577@example.com,087-822-2064,11-Feb-2023, Regular,Phuket,12.0,CRM_V2
C-00670,Wichai Phanuwat,wichai.phanuwat670@example.com,0890473975,2023-07-04,regular,Khon Kaen,35.0,CRM_V2
C-00068,Somchai Thongdee,somchai.thongdee68@example.com,080-143-4013,06/08/2022,vip, HKT ,4.0,CRM_V2
C-00702,Preecha Suksawat,preecha.suksawat702@example.com,0897978009,2023-05-01,NEW,HKT,23.0,CRM_V2
C-00448,Somsak Suksawat,somsak.suksawat448@example.com,087-829-0716,2022-07-04,, Khon Kaen ,2.0,CRM_V2
C-00446,Somchai Boonmee, somchai.boonmee446@example.com  ,0889058953,2022-11-20,N/A,ภูเก็ต,18.0,CRM_LEGACY
C-00165,Preecha Chaiyaporn,preecha.chaiyaporn165@example.com,082-964-5761,03/03/2023,New,Phuket,5.0,CRM_V2
C-00258,Siriporn Chaiyaporn,siriporn.chaiyaporn258@example.com,085-927-2326,07/04/2024,Regular,HKT,21.0,CRM_V2
C-00767,Wichai Charoensuk,wichai.charoensuk767@example.com,0866095154,30/06/2022,N/A,Chiang Mai,11.0,CRM_V2
C-00548,Somsak Kaewmanee,somsak.kaewmanee548@example.com,0819916510,23/09/2022, Regular,CNX,1.0,CRM_LEGACY
C-00736,Nattaya Rattanakul,dup_thanapon.boonmee736@example.com,+66840853104,2024-05-20,,bangkok,13.0,CRM_V2
C-00194,Preecha Rattanakul,preecha.rattanakul194@example.com,083-409-9404,29/09/2022,,bangkok,-9.0,CRM_LEGACY
C-00564,Malee Charoensuk,malee.charoensuk564@example.com,+66880133197,11/13/2023,New, Khon Kaen ,31.0,CRM_LEGACY
C-00646,Suda Charoensuk,SUDA.CHAROENSUK646@EXAMPLE.COM,086-566-0882,29/06/2023,REGULAR,CNX,38.0,CRM_LEGACY
C-00463,Somsak Sukjai,somsak.sukjai463@example.com,087-240-5559,07/07/2023,New,HKT,24.0,CRM_LEGACY
C-00009,Waree Sukjai,dup_wichai.phanuwat9@example.com,0860781151,2023-08-21,VIP,Chiang Mai,27.0,CRM_V2
C-00399,Somchai Sukjai,somchai.sukjai399@example.com,0895741959,03/05/2022,regular, Phuket ,27.0,CRM_V2
C-00737,Ratana Chaiyaporn,ratana.chaiyaporn737@example.com,087-275-1628,20/05/2024,NEW,ภูเก็ต,16.0,CRM_V2
C-00793,Suda Rattanakul,suda.rattanakul793@example.com,0855214406,18/01/2024,new,Phuket,39.0,CRM_V2
C-00784,Somsak Suksawat,somsak.suksawat784@example.com,0881133691,22/09/2022,Regular,Bangkok,33.0,CRM_V2
C-00679,Suda Sukjai,suda.sukjai679@example.com,089-453-8764,27-Dec-2021,Regular,CNX,37.0,CRM_V2
C-00273,Waree Chaiyaporn,waree.chaiyaporn273@example.com,081-177-5031,2023-02-20,new,เชียงใหม่,32.0,CRM_LEGACY_MIGRATED
C-00689,Somsak Suksawat,somsak.suksawat689@example.com,0832703302,03-Jul-2023,regular,Phuket,30.0,CRM_V2
C-00515,Chai Boonmee,chai.boonmee515@example.com,087-072-7233,2023-07-04,NEW,ขอนแก่น,3.0,CRM_LEGACY
C-00787,Nattaya Sukjai,nattaya.sukjai787@example.com,0871518304,23/04/2023,NEW, ขอนแก่น ,,CRM_V2
C-00772,Thanapon Sukjai,,+66851001548,03/05/2022,New,Pattaya,28.0,CRM_LEGACY_MIGRATED
C-00707,Nattaya Phanuwat,nattaya.phanuwat707@example.com,080-091-2433,02/05/2023,Regular,Bangkok,36.0,CRM_V2
C-00616,Preecha Rattanakul,PREECHA.RATTANAKUL616@EXAMPLE.COM,+66851447077,31/12/2022,new,ภูเก็ต,39.0,CRM_V2
C-00373,Thanapon Rattanakul,thanapon.rattanakul373@example.com,0839225643,05/27/2023,regular,Pattaya,38.0,CRM_V2
C-00249,Chai Charoensuk,chai.charoensuk249@example.com,+66853114654,21/04/2024, Regular,ขอนแก่น,34.0,CRM_LEGACY
C-00129,Somchai Wongsawat,somchai.wongsawat129@example.com,0889092873,04/12/2023,new,bangkok,14.0,CRM_V2
C-00472,Wichai Kaewmanee,wichai.kaewmanee472@example.com,+66876172007,03/04/2023,regular, กรุงเทพ ,40.0,CRM_V2
C-00063,Somsak Chaiyaporn,somsak.chaiyaporn63@example.com,+66804741950,22/10/2022,2,BKK,38.0,CRM_V2
C-00019,Kittipong Rattanakul,kittipong.rattanakul19@example.com,0862660923,03/01/2024,Regular,ขอนแก่น,13.0,CRM_LEGACY_MIGRATED
C-00430,Somsak Kaewmanee,somsak.kaewmanee430@example.com,+66885954218,07/06/2022,regular,Chiang Mai,1.0,CRM_V2
C-00336,Thanapon Sukjai,thanapon.sukjai336@example.com,089-351-0435,2022-12-25, Regular,Chiang Mai,15.0,CRM_LEGACY
C-00613,Somsak Suksawat,somsak.suksawat613@example.com,084-825-3264,31/07/2023,Regular,ขอนแก่น,25.0,CRM_V2
C-00319,Siriporn Sukjai,SIRIPORN.SUKJAI319@EXAMPLE.COM,+66825255923,12/04/2023,,ชลบุรี,20.0,CRM_LEGACY
C-00590,Somchai Wongsawat,somchai.wongsawat590@example.com,+66895823471,2022-08-12,New,HKT,21.0,CRM_LEGACY
C-00290,Preecha Boonmee,preecha.boonmee290@example.com,+66819150579,12/01/2023,REGULAR,Chiang Mai,,CRM_V2
C-00792,Chai Wongsawat,chai.wongsawat792@example.com,+66808801960,10/01/2023, VIP ,Bangkok,13.0,CRM_V2
C-00366,Siriporn Sukjai,siriporn.sukjai366@example.com,089-735-2618,23/02/2024,Regular,เชียงใหม่,10.0,CRM_V2
C-00075,Somchai Chaiyaporn,somchai.chaiyaporn75@example.com,088-620-1123,24/05/2023,,ขอนแก่น,,CRM_V2
C-00733,Somsak Suksawat,somsak.suksawat733@example.com,0805839892,28/05/2022, Regular,Bangkok,25.0,CRM_V2
C-00306,Wichai Chaiyaporn,wichai.chaiyaporn306@example.com,080-821-6567,2022-03-06,VIP,ชลบุรี,35.0,CRM_V2
C-00401,Pim Suksawat,pim.suksawat401@example.com,080-390-3231,20/05/2022,N/A,CNX,5.0,CRM_V2
C-00491,Pim Thongdee,pim.thongdee491@example.com,087-010-5324,2022-02-01,new,ชลบุรี,13.0,CRM_V2
C-00427,Preecha Rattanakul,preecha.rattanakul427@example.com,0811042453,16/11/2022, Regular,Khon Kaen,19.0,CRM_V2
C-00023,Waree Rattanakul,waree.rattanakul23@example.com,085-956-0481,10/05/2023, Regular,ชลบุรี,25.0,CRM_LEGACY_MIGRATED
C-00183,Thanapon Sukjai,thanapon.sukjai183@example.com,085-570-0289,06/12/2023,regular,Chonburi,5.0,CRM_V2
C-00229,Malee Rattanakul,malee.rattanakul229@example.com,+66810415586,03/06/2023,NEW,Chiang Mai,34.0,CRM_V2
C-00100,Anan Phanuwat,anan.phanuwat100@example.com,082-309-9951,11/12/2023,Regular,ขอนแก่น,35.0,CRM_V2
C-00657,Preecha Chaiyaporn,preecha.chaiyaporn657@example.com,085-674-1247,2022-05-24,REGULAR,ขอนแก่น,9.0,CRM_V2
C-00471,Wichai Charoensuk,wichai.charoensuk471@example.com,0882893279,18/01/2022,Vip, Pattaya ,13.0,CRM_V2
C-00776,Thanapon Suksawat,,086-467-9765,06/09/2023,New, HKT ,31.0,CRM_V2
C-00108,Kittipong Chaiyaporn,kittipong.chaiyaporn108@example.com,+66859911218,08-Apr-2024,regular,เชียงใหม่,26.0,CRM_V2
C-00489,Somsak Charoensuk,somsak.charoensuk489@example.com,0874276440,04/12/2022,Vip,Chonburi,1.0,CRM_V2
C-00198,Chai Wongsawat,chai.wongsawat198@example.com,0888216312,23-Apr-2023,, Chonburi ,35.0,CRM_V2
C-00687,Ratana Rattanakul,ratana.rattanakul687@example.com,+66835394931,09/12/2023,New,CNX,6.0,CRM_V2
C-00503,Thanapon Sukjai,thanapon.sukjai503@example.com,+66825403786,26-Dec-2022,REGULAR,Phuket,5.0,CRM_LEGACY_MIGRATED
C-00493,Pim Thongdee,pim.thongdee493@example.com,083-809-4168,27/02/2022,Vip,KHON KAEN,5.0,CRM_V2
C-00038,Malee Charoensuk,malee.charoensuk38@example.com,084-936-6888,2023-07-13,Regular,bangkok,0.0,CRM_V2
C-00090,Chai Wongsawat,chai.wongsawat90@example.com,089-673-4137,29-Sep-2023,new,Chonburi,11.0,CRM_V2
C-00081,Pim Rattanakul,PIM.RATTANAKUL81@EXAMPLE.COM,+66892213461,23/12/2023,new,ภูเก็ต,8.0,CRM_V2
C-00691,Malee Suksawat,malee.suksawat691@example.com,085-574-8959,02/04/2023,NEW,bangkok,-8.0,CRM_V2
C-00473,Suda Boonmee,suda.boonmee473@example.com,080-953-4242,2022-06-13,Vip,Khon Kaen,20.0,CRM_V2
C-00184,Waree Phanuwat,waree.phanuwat184@example.com,0852572434,18/04/2022,Regular,Phuket,6.0,CRM_V2
C-00031,Malee Chaiyaporn,malee.chaiyaporn31@example.com,086-402-2802,18-Mar-2022,New,CNX,10.0,CRM_V2
C-00011,Pim Sukjai,pim.sukjai11@example.com,+66850580084,2023-09-23,,HKT,,CRM_V2
C-00379,Waree Boonmee,waree.boonmee379@example.com,0840415849,25-Dec-2023,REGULAR,Khon Kaen,21.0,CRM_V2
C-00672,Suda Suksawat,suda.suksawat672@example.com,086-611-5597,20/01/2022,regular,ขอนแก่น,,CRM_V2
C-00339,Pim Suksawat,pim.suksawat339@example.com,+66894480183,2024-05-23,regular,HKT,29.0,CRM_LEGACY
C-00078,Malee Kaewmanee,malee.kaewmanee78@example.com,087-738-2571,16/07/2023, Regular,Pattaya,36.0,CRM_V2
C-00316,Anan Thongdee,anan.thongdee316@example.com,0863930642,28/12/2021,,HKT,28.0,CRM_V2
C-00002,Wichai Thongdee,wichai.thongdee2@example.com,082-041-9026,19/10/2022,,ขอนแก่น,21.0,CRM_V2
C-00748,Somsak Boonmee,somsak.boonmee748@example.com,+66847612670,08-Mar-2022, Regular,Chonburi,23.0,CRM_LEGACY_MIGRATED
C-00718,Suda Suksawat,suda.suksawat718@example.com,084-119-9756,2022-07-25,NEW,กรุงเทพ,39.0,CRM_LEGACY
C-00544,Waree Thongdee,waree.thongdee544@example.com,0847136363,27-Oct-2022,REGULAR,BKK,36.0,CRM_V2
C-00512,Siriporn Kaewmanee,siriporn.kaewmanee512@example.com,+66863426253,2022-11-05,vip,CNX,29.0,CRM_V2
C-00445,Wichai Phanuwat,wichai.phanuwat445@example.com,0836510430,23-Jan-2024,vip,HKT,33.0,CRM_V2
C-00341,Suda Thongdee,suda.thongdee341@example.com,083-225-4303,28/04/2023,N/A,กรุงเทพ,,CRM_V2
C-00665,Preecha Chaiyaporn,preecha.chaiyaporn665@example.com,+66833687360,28/10/2023,1,กรุงเทพ,2.0,CRM_V2
C-00603,Suda Wongsawat,suda.wongsawat603@example.com,+66842551629,26/04/2023,2,Chiang Mai,21.0,CRM_V2
C-00617,Nattaya Kaewmanee,NATTAYA.KAEWMANEE617@EXAMPLE.COM,0801417845,06/01/2024,1,Chonburi,5.0,CRM_V2
C-00159,Suda Phanuwat,suda.phanuwat159@example.com,+66809845915,18/02/2022,REGULAR,Bangkok,37.0,CRM_V2
C-00431,Anan Thongdee,dup_wichai.thongdee431@example.com,+66824833568,23/01/2023,New,Bangkok,28.0,CRM_V2
C-00452,Siriporn Kaewmanee, siriporn.kaewmanee452@example.com  ,082-648-3021,04/12/2022,REGULAR,KHON KAEN,17.0,CRM_LEGACY
C-00252,Kittipong Rattanakul,kittipong.rattanakul252@example.com,0817418753,2022-04-28,new,ขอนแก่น,,CRM_LEGACY
C-00756,Siriporn Wongsawat,siriporn.wongsawat756@example.com,086-841-0344,11/06/2022,REGULAR,Pattaya,11.0,CRM_LEGACY_MIGRATED
C-00120,Kittipong Thongdee,kittipong.thongdee120@example.com,080-750-4345,23/12/2023,N/A,Chonburi,7.0,CRM_LEGACY
C-00642,Chai Wongsawat,chai.wongsawat642@example.com,+66856123208,06/03/2022,VIP,เชียงใหม่,1.0,CRM_V2
C-00014,Thanapon Wongsawat,thanapon.wongsawat14 at example.com,+66876275400,2024-01-01,regular,ภูเก็ต,3.0,CRM_V2
C-00749,Anan Phanuwat,anan.phanuwat749@example.com,088-927-2183,2023-05-17,regular,Chonburi,30.0,CRM_V2
C-00200,Pim Sukjai,pim.sukjai200@example.com,0811372895,06/12/2022,REGULAR,ขอนแก่น,2.0,CRM_V2
C-00456,Thanapon Sukjai,thanapon.sukjai456@example.com,+66807226837,05/10/2023,,Chiang Mai,32.0,CRM_V2
C-00214,Preecha Thongdee,preecha.thongdee214@example.com,+66819919935,01/02/2024,Regular,CNX,12.0,CRM_LEGACY
C-00296,Chai Charoensuk,chai.charoensuk296@example.com,+66826306499,21/01/2024,,Phuket,5.0,CRM_V2
C-00311,Pim Chaiyaporn,pim.chaiyaporn311@example.com,082-779-1036,27/01/2024,REGULAR,HKT,40.0,CRM_LEGACY
C-00383,Thanapon Thongdee,,+66804362345,10/04/2024,REGULAR, Chiang Mai ,12.0,CRM_V2
C-00130,Somsak Boonmee,somsak.boonmee130@example.com,+66851006043,08-Nov-2023,REGULAR,BKK,36.0,CRM_LEGACY
C-00193,Anan Suksawat,anan.suksawat193@example.com,085-195-5478,2022-12-13,new,CHIANG MAI,20.0,CRM_LEGACY
C-00170,Pim Boonmee,pim.boonmee170@example.com,0845200743,2022-07-15,N/A,Chonburi,36.0,CRM_LEGACY_MIGRATED
C-00506,Nattaya Phanuwat,nattaya.phanuwat506@example.com,087-736-1242,2022-08-14,New,HKT,7.0,CRM_LEGACY
C-00774,Ratana Phanuwat,ratana.phanuwat774@example.com,+66832726449,2023-07-24,1,Khon Kaen,9.0,CRM_V2
C-00164,Somchai Phanuwat,somchai.phanuwat164@example.com,+66809576837,01/06/2023,regular,Pattaya,,CRM_V2
C-00514,Nattaya Thongdee,nattaya.thongdee514@example.com,085-472-2983,2023-06-26,REGULAR,เชียงใหม่,39.0,CRM_V2
C-00232,Wichai Phanuwat,wichai.phanuwat232@example.com,+66853043456,04-Apr-2022,Regular,ภูเก็ต,4.0,CRM_LEGACY
C-00762,Suda Sukjai,suda.sukjai762@example.com,0899503427,2023-01-28,regular,bangkok,,CRM_V2
C-00543,Siriporn Kaewmanee,siriporn.kaewmanee543@example.com,0894506449,2024-05-10, VIP ,ภูเก็ต,14.0,CRM_V2
C-00280,Malee Sukjai,malee.sukjai280@example.com,0857363448,23-Jan-2022,REGULAR,ชลบุรี,6.0,CRM_V2
C-00782,Nattaya Suksawat,nattaya.suksawat782@example.com,0884972866,2024-02-07,Regular,Khon Kaen,20.0,CRM_LEGACY_MIGRATED
C-00684,Thanapon Kaewmanee,thanapon.kaewmanee684@example.com,086-062-7906,2023-01-12, Regular,BKK,34.0,CRM_V2
C-00601,Somsak Wongsawat,somsak.wongsawat601@example.com,085-404-3562,29-Aug-2023,REGULAR,ขอนแก่น,37.0,CRM_V2
C-00073,Wichai Boonmee,wichai.boonmee73@example.com,+66844614431,2023-07-11,New,Khon Kaen,18.0,CRM_V2
C-00454,Anan Phanuwat,anan.phanuwat454@example.com,+66836367861,26/07/2022, Regular, Khon Kaen ,17.0,CRM_V2
C-00334,Somsak Phanuwat,somsak.phanuwat334@example.com,0892061573,27-Aug-2022,NEW,Bangkok,12.0,CRM_V2
C-00653,Wichai Suksawat,wichai.suksawat653@example.com,+66831967208,2022-07-18,Regular,Chonburi,,CRM_V2
C-00205,Nattaya Kaewmanee,nattaya.kaewmanee205@example.com,+66832808625,10/26/2022,1, ขอนแก่น ,18.0,CRM_LEGACY_MIGRATED
C-00643,Somchai Sukjai,dup_pim.wongsawat643@example.com,0869093655,26/01/2023,N/A,Chonburi,35.0,CRM_LEGACY_MIGRATED
C-00371,Kittipong Sukjai,kittipong.sukjai371@example.com,080-992-5143,2022-09-20,VIP,Bangkok,34.0,CRM_V2
C-00534,Pim Kaewmanee,pim.kaewmanee534@example.com,+66832938145,24-Jun-2022,Regular,Chonburi,,CRM_LEGACY_MIGRATED
C-00695,Thanapon Phanuwat,thanapon.phanuwat695@example.com,0890287811,24/01/2024,3,CNX,32.0,CRM_LEGACY_MIGRATED
C-00579,Nattaya Boonmee,nattaya.boonmee579@example.com,080-015-9279,10/03/2024,Regular,BKK,2.0,CRM_LEGACY
C-00292,Siriporn Phanuwat,siriporn.phanuwat292@example.com,082-999-9570,2023-01-02,REGULAR,CNX,38.0,CRM_V2
C-00109,Ratana Phanuwat, ratana.phanuwat109@example.com  ,080-722-5147,2022-11-17,REGULAR,HKT,31.0,CRM_V2
C-00346,Kittipong Chaiyaporn,kittipong.chaiyaporn346@example.com,0806268867,2023-04-29,Regular,HKT,0.0,CRM_V2
C-00545,Ratana Sukjai,ratana.sukjai545@example.com,+66811979809,31/01/2024,N/A,Phuket,7.0,CRM_V2
C-00182,Kittipong Rattanakul,kittipong.rattanakul182@example.com,0898642682,2022-03-22,regular,Chonburi,25.0,CRM_LEGACY
C-00199,Somchai Boonmee,somchai.boonmee199@example.com,+66870315143,2022-03-17,NEW,Khon Kaen,10.0,CRM_V2
C-00778,Somsak Boonmee,somsak.boonmee778@example.com,089-931-9459,26/04/2023,new,ชลบุรี,37.0,CRM_LEGACY_MIGRATED
C-00161,Preecha Suksawat,preecha.suksawat161@example.com,0885840130,10/11/2023,NEW,Pattaya,30.0,CRM_LEGACY
C-00329,Waree Phanuwat,waree.phanuwat329@example.com,+66851075891,13/09/2023,regular,ขอนแก่น,21.0,CRM_V2
C-00227,Preecha Sukjai,,089-592-0381,2024-04-17,Vip,Khon Kaen,33.0,CRM_LEGACY
C-00630,Anan Suksawat,anan.suksawat630@example.com,082-664-9210,07/21/2023,Regular,Chiang Mai,15.0,CRM_V2
C-00091,Somsak Sukjai, somsak.sukjai91@example.com  ,0843580360,22-Nov-2023,regular,ภูเก็ต,8.0,CRM_V2
C-00285,Kittipong Kaewmanee,kittipong.kaewmanee285@example.com,082-411-9425,03/12/2022, Regular,กรุงเทพ,20.0,CRM_V2
C-00673,Malee Wongsawat,malee.wongsawat673 at example.com,086-569-3919,03/01/2023,N/A, ภูเก็ต ,1.0,CRM_LEGACY
C-00287,Ratana Kaewmanee,ratana.kaewmanee287@example.com,0881438672,10-Feb-2022,new,Khon Kaen,16.0,CRM_LEGACY
C-00644,Kittipong Phanuwat,kittipong.phanuwat644@example.com,080-412-0342,14/01/2023,VIP,Pattaya,40.0,CRM_V2
C-00210,Malee Thongdee,malee.thongdee210@example.com,082-618-2383,09/05/2024,REGULAR,Khon Kaen,23.0,CRM_V2
C-00043,Siriporn Charoensuk,siriporn.charoensuk43@example.com,+66883705466,08-May-2023,vip,bangkok,14.0,CRM_LEGACY_MIGRATED
C-00560,Malee Rattanakul,malee.rattanakul560@example.com,0854998413,27/07/2022, Regular,ภูเก็ต,26.0,CRM_V2
C-00444,Siriporn Kaewmanee,siriporn.kaewmanee444@example.com,0874570090,23/02/2022,,Khon Kaen,12.0,CRM_V2
C-00520,Anan Charoensuk,anan.charoensuk520@example.com,+66842630318,12-Jul-2022,regular,กรุงเทพ,33.0,CRM_LEGACY_MIGRATED
C-00158,Wichai Rattanakul,wichai.rattanakul158@example.com,0848742118,19-Feb-2023,2,BKK,18.0,CRM_V2
